gio_thu,thoi_diem,lenh_gui,ket_qua,free_heap_byte,rssi_dbm,ghi_chu
1,20:53:49,toggle tu fabric #2,OK,,-23,UpTime=1441s RebootCount=3
2,21:53:56,toggle tu fabric #2,OK,,-24,UpTime=5048s RebootCount=3
3,22:54:03,toggle tu fabric #2,OK,,-23,UpTime=8654s RebootCount=3
4,23:54:10,toggle tu fabric #2,OK,,-24,UpTime=12261s RebootCount=3
5,00:54:17,toggle tu fabric #2,OK,,-21,UpTime=15868s RebootCount=3
6,01:54:24,toggle tu fabric #2,OK,,-20,UpTime=19475s RebootCount=3
7,02:54:31,toggle tu fabric #2,OK,,-23,UpTime=23082s RebootCount=3
